,Borough,Ward,Geog level,Constituency,,Turnout,Ward Level Electorate,% Turnout,Winner,Sadiq Aman Khan - Labour Party,Zac Goldsmith - The Conservative Party,Sian Rebecca Berry - Green Party,Caroline Valerie Pidgeon - London Liberal Democrats,Peter Robin Whittle - UK Independence Party (UKIP),Other,Total Good
1,Bexley,Barnehurst,Ward,Bexley & Bromley,E05000064,"2,758","6,886",40%,Zac Goldsmith,588,1510,87,100,266,156,2707
2,Bexley,Belvedere,Ward,Bexley & Bromley,E05000065,"2,675","7,506",36%,Zac Goldsmith,957,975,125,93,271,199,2620
3,Bexley,Blackfen And Lamorbey,Ward,Bexley & Bromley,E05000066,"3,011","6,974",43%,Zac Goldsmith,613,1586,106,142,338,152,2937
4,Bexley,Blendon And Penhill,Ward,Bexley & Bromley,E05000067,"3,050","6,993",44%,Zac Goldsmith,546,1802,85,113,305,130,2981
5,Bexley,Brampton,Ward,Bexley & Bromley,E05000068,"3,311","6,902",48%,Zac Goldsmith,707,1779,115,137,352,158,3248
6,Bexley,Christchurch,Ward,Bexley & Bromley,E05000069,"2,854","6,920",41%,Zac Goldsmith,702,1443,143,113,256,155,2812
7,Bexley,Colyers,Ward,Bexley & Bromley,E05000070,"2,208","6,287",35%,Zac Goldsmith,581,999,62,78,295,156,2171
8,Bexley,Cray Meadows,Ward,Bexley & Bromley,E05000072,"2,693","6,958",39%,Zac Goldsmith,661,1367,96,100,249,172,2645
9,Bexley,Crayford,Ward,Bexley & Bromley,E05000071,"2,550","7,624",33%,Zac Goldsmith,687,1099,121,82,315,190,2494
10,Bexley,Danson Park,Ward,Bexley & Bromley,E05000073,"2,806","6,768",41%,Zac Goldsmith,634,1459,128,90,272,166,2749
11,Bexley,East Wickham,Ward,Bexley & Bromley,E05000074,"2,698","6,842",39%,Zac Goldsmith,680,1220,83,122,343,192,2640
12,Bexley,Erith,Ward,Bexley & Bromley,E05000075,"2,269","6,800",33%,Sadiq Aman Khan,861,783,78,75,238,185,2220
13,Bexley,Falconwood And Welling,Ward,Bexley & Bromley,E05000076,"3,000","6,991",43%,Zac Goldsmith,649,1513,104,138,319,216,2939
14,Bexley,Lesnes Abbey,Ward,Bexley & Bromley,E05000077,"2,542","6,743",38%,Zac Goldsmith,813,1078,72,72,257,192,2484
15,Bexley,Longlands,Ward,Bexley & Bromley,E05000078,"3,087","6,739",46%,Zac Goldsmith,720,1702,120,144,205,132,3023
16,Bexley,North End,Ward,Bexley & Bromley,E05000079,"1,986","6,801",29%,Sadiq Aman Khan,763,653,70,63,220,163,1932
17,Bexley,Northumberland Heath,Ward,Bexley & Bromley,E05000080,"2,686","6,884",39%,Zac Goldsmith,697,1252,97,106,276,194,2622
18,Bexley,Sidcup,Ward,Bexley & Bromley,E05000083,"3,343","7,221",46%,Zac Goldsmith,697,1886,176,143,246,133,3281
19,Bexley,St Mary's,Ward,Bexley & Bromley,E05000081,"3,278","7,064",46%,Zac Goldsmith,596,1959,153,125,261,134,3228
20,Bexley,St Michael's,Ward,Bexley & Bromley,E05000082,"2,826","7,024",40%,Zac Goldsmith,701,1402,80,119,302,162,2766
21,Bexley,Thamesmead East,Ward,Bexley & Bromley,E05000084,"1,962","6,279",31%,Sadiq Aman Khan,945,506,76,58,180,161,1926
22,Bromley,Bickley,Ward,Bexley & Bromley,E05000106,"4,531","9,300",49%,Zac Goldsmith,921,2714,199,240,186,195,4455
23,Bromley,Biggin Hill,Ward,Bexley & Bromley,E05000107,"2,901","6,679",43%,Zac Goldsmith,365,1835,83,115,322,128,2848
24,Bromley,Bromley Common And Keston,Ward,Bexley & Bromley,E05000108,"4,150","10,063",41%,Zac Goldsmith,966,2220,204,204,290,192,4076
25,Bromley,Bromley Town,Ward,Bexley & Bromley,E05000109,"4,742","10,765",44%,Zac Goldsmith,1580,1959,337,297,212,296,4681
26,Bromley,Chelsfield And Pratts Bottom,Ward,Bexley & Bromley,E05000110,"4,751","9,411",50%,Zac Goldsmith,912,2747,231,220,378,189,4677
27,Bromley,Chislehurst,Ward,Bexley & Bromley,E05000111,"4,384","9,599",46%,Zac Goldsmith,889,2646,189,200,223,171,4318
28,Bromley,Clock House,Ward,Bexley & Bromley,E05000112,"4,970","9,973",50%,Sadiq Aman Khan,2107,1598,438,285,176,303,4907
29,Bromley,Copers Cope,Ward,Bexley & Bromley,E05000113,"4,723","10,033",47%,Zac Goldsmith,1434,2264,271,281,172,228,4650
30,Bromley,Cray Valley East,Ward,Bexley & Bromley,E05000114,"3,036","9,085",33%,Zac Goldsmith,814,1317,138,163,334,210,2976
31,Bromley,Cray Valley West,Ward,Bexley & Bromley,E05000115,"3,099","10,021",31%,Zac Goldsmith,775,1358,132,133,413,227,3038
32,Bromley,Crystal Palace,Ward,Bexley & Bromley,E05000116,"3,289","7,610",43%,Sadiq Aman Khan,1754,609,358,175,90,256,3242
33,Bromley,Darwin,Ward,Bexley & Bromley,E05000117,"1,604","3,349",48%,Zac Goldsmith,203,1031,63,60,150,71,1578
34,Bromley,Farnborough And Crofton,Ward,Bexley & Bromley,E05000118,"4,838","9,565",51%,Zac Goldsmith,862,3048,168,221,286,193,4778
35,Bromley,Hayes And Coney Hall,Ward,Bexley & Bromley,E05000119,"5,067","10,504",48%,Zac Goldsmith,1026,2934,243,244,341,202,4990
36,Bromley,Kelsey And Eden Park,Ward,Bexley & Bromley,E05000120,"4,749","10,163",47%,Zac Goldsmith,1234,2414,232,315,239,240,4674
37,Bromley,Mottingham And Chislehurst North,Ward,Bexley & Bromley,E05000121,"2,288","6,165",37%,Zac Goldsmith,662,934,114,90,233,192,2225
38,Bromley,Orpington,Ward,Bexley & Bromley,E05000122,"4,516","9,958",45%,Zac Goldsmith,910,2505,169,252,372,220,4428
39,Bromley,Penge And Cator,Ward,Bexley & Bromley,E05000123,"4,822","10,381",46%,Sadiq Aman Khan,2325,1171,444,272,181,341,4734
40,Bromley,Petts Wood And Knoll,Ward,Bexley & Bromley,E05000124,"4,989","8,909",56%,Zac Goldsmith,879,3178,214,259,245,146,4921
41,Bromley,Plaistow And Sundridge,Ward,Bexley & Bromley,E05000125,"4,251","9,631",44%,Zac Goldsmith,1264,1888,248,272,249,256,4177
42,Bromley,Shortlands,Ward,Bexley & Bromley,E05000126,"3,262","6,289",52%,Zac Goldsmith,734,1935,151,166,100,130,3216
43,Bromley,West Wickham,Ward,Bexley & Bromley,E05000127,"4,914","9,857",50%,Zac Goldsmith,1023,2910,207,252,255,191,4838
44,Brent,Alperton,Ward,Brent & Harrow,E05000085,"4,622","9,734",47%,Sadiq Aman Khan,2291,1099,157,196,75,501,4319
45,Brent,Barnhill,Ward,Brent & Harrow,E05000086,"3,887","10,030",39%,Sadiq Aman Khan,1961,1158,159,104,58,336,3776
46,Brent,Brondesbury Park,Ward,Brent & Harrow,E05000087,"3,137","7,497",42%,Sadiq Aman Khan,1516,995,219,120,36,196,3082
47,Brent,Dollis Hill,Ward,Brent & Harrow,E05000088,"2,904","7,514",39%,Sadiq Aman Khan,1504,724,99,146,50,278,2801
48,Brent,Dudden Hill,Ward,Brent & Harrow,E05000089,"3,668","8,828",42%,Sadiq Aman Khan,1983,797,179,204,67,334,3564
49,Brent,Fryent,Ward,Brent & Harrow,E05000090,"3,210","8,122",40%,Sadiq Aman Khan,1445,1131,130,91,82,244,3123
50,Brent,Harlesden,Ward,Brent & Harrow,E05000091,"3,118","9,178",34%,Sadiq Aman Khan,2058,453,148,73,43,249,3024
51,Brent,Kensal Green,Ward,Brent & Harrow,E05000092,"3,246","8,142",40%,Sadiq Aman Khan,1863,665,217,127,45,241,3158
52,Brent,Kenton,Ward,Brent & Harrow,E05000093,"3,401","8,020",42%,Zac Goldsmith,1058,1811,120,96,48,181,3314
53,Brent,Kilburn,Ward,Brent & Harrow,E05000094,"4,185","9,921",42%,Sadiq Aman Khan,2490,760,285,164,80,305,4084
54,Brent,Mapesbury,Ward,Brent & Harrow,E05000095,"3,547","8,631",41%,Sadiq Aman Khan,1778,903,239,205,57,295,3477
55,Brent,Northwick Park,Ward,Brent & Harrow,E05000096,"3,436","8,521",40%,Sadiq Aman Khan,1449,1447,151,87,38,207,3379
56,Brent,Preston,Ward,Brent & Harrow,E05000097,"3,673","9,374",39%,Sadiq Aman Khan,1745,1247,136,104,62,261,3555
57,Brent,Queen's Park,Ward,Brent & Harrow,E05000098,"3,950","8,958",44%,Sadiq Aman Khan,1970,1076,293,152,62,309,3862
58,Brent,Queensbury,Ward,Brent & Harrow,E05000099,"3,989","9,782",41%,Sadiq Aman Khan,1733,1494,160,84,72,300,3843
59,Brent,Stonebridge,Ward,Brent & Harrow,E05000100,"3,432","10,042",34%,Sadiq Aman Khan,2292,460,109,67,51,302,3281
60,Brent,Sudbury,Ward,Brent & Harrow,E05000101,"3,694","8,706",42%,Sadiq Aman Khan,1882,1052,121,183,45,292,3575
61,Brent,Tokyngton,Ward,Brent & Harrow,E05000102,"3,827","10,304",37%,Sadiq Aman Khan,2024,988,177,105,38,360,3692
62,Brent,Welsh Harp,Ward,Brent & Harrow,E05000103,"3,137","8,217",38%,Sadiq Aman Khan,1489,893,121,90,105,329,3027
63,Brent,Wembley Central,Ward,Brent & Harrow,E05000104,"4,153","9,515",44%,Sadiq Aman Khan,2046,1114,145,147,56,443,3951
64,Brent,Willesden Green,Ward,Brent & Harrow,E05000105,"3,241","8,473",38%,Sadiq Aman Khan,1778,637,196,159,55,320,3145
65,Harrow,Belmont,Ward,Brent & Harrow,E05000285,"3,006","6,390",47%,Zac Goldsmith,799,1715,88,95,64,190,2951
66,Harrow,Canons,Ward,Brent & Harrow,E05000286,"3,219","7,517",43%,Zac Goldsmith,878,1929,94,97,50,129,3177
67,Harrow,Edgware,Ward,Brent & Harrow,E05000287,"2,805","6,856",41%,Sadiq Aman Khan,1177,1065,105,64,78,210,2699
68,Harrow,Greenhill,Ward,Brent & Harrow,E05000288,"2,623","6,725",39%,Sadiq Aman Khan,1120,942,144,109,46,220,2581
69,Harrow,Harrow On The Hill,Ward,Brent & Harrow,E05000289,"2,687","6,426",42%,Zac Goldsmith,1021,1108,137,99,56,186,2607
70,Harrow,Harrow Weald,Ward,Brent & Harrow,E05000290,"2,712","6,606",41%,Zac Goldsmith,833,1347,86,107,107,179,2659
71,Harrow,Hatch End,Ward,Brent & Harrow,E05000291,"3,209","6,820",47%,Zac Goldsmith,791,1893,113,114,71,155,3137
72,Harrow,Headstone North,Ward,Brent & Harrow,E05000292,"3,203","6,348",50%,Zac Goldsmith,1023,1643,137,137,80,144,3164
73,Harrow,Headstone South,Ward,Brent & Harrow,E05000293,"2,960","6,610",45%,Sadiq Aman Khan,1266,1042,181,150,61,190,2890
74,Harrow,Kenton East,Ward,Brent & Harrow,E05000294,"2,710","6,509",42%,Sadiq Aman Khan,1111,1052,69,75,67,211,2585
75,Harrow,Kenton West,Ward,Brent & Harrow,E05000295,"3,078","6,968",44%,Zac Goldsmith,991,1577,104,71,69,203,3015
76,Harrow,Marlborough,Ward,Brent & Harrow,E05000296,"2,854","6,956",41%,Sadiq Aman Khan,1380,879,143,89,63,245,2799
77,Harrow,Pinner,Ward,Brent & Harrow,E05000297,"2,915","6,403",46%,Zac Goldsmith,786,1641,126,123,61,131,2868
78,Harrow,Pinner South,Ward,Brent & Harrow,E05000298,"3,325","6,405",52%,Zac Goldsmith,901,1897,154,151,53,119,3275
79,Harrow,Queensbury,Ward,Brent & Harrow,E05000299,"2,867","6,705",43%,Sadiq Aman Khan,1181,1124,103,56,86,219,2769
80,Harrow,Rayners Lane,Ward,Brent & Harrow,E05000300,"3,087","6,424",48%,Zac Goldsmith,1174,1345,109,147,73,153,3001
81,Harrow,Roxbourne,Ward,Brent & Harrow,E05000301,"3,053","7,380",41%,Sadiq Aman Khan,1490,957,110,80,82,250,2969
82,Harrow,Roxeth,Ward,Brent & Harrow,E05000302,"2,869","6,716",43%,Sadiq Aman Khan,1332,945,99,73,80,216,2745
83,Harrow,Stanmore Park,Ward,Brent & Harrow,E05000303,"2,952","6,545",45%,Zac Goldsmith,694,1814,81,93,65,136,2883
84,Harrow,Wealdstone,Ward,Brent & Harrow,E05000304,"2,521","6,214",41%,Sadiq Aman Khan,1162,765,118,82,106,200,2433
85,Harrow,West Harrow,Ward,Brent & Harrow,E05000305,"2,964","6,325",47%,Sadiq Aman Khan,1233,1144,144,102,69,215,2907
86,Barnet,Brunswick Park,Ward,Barnet & Camden,E05000043,"3,959","9,545",41%,Zac Goldsmith,1532,1671,191,134,136,223,3887
87,Barnet,Burnt Oak,Ward,Barnet & Camden,E05000044,"3,002","8,900",34%,Sadiq Aman Khan,1581,753,104,89,141,249,2917
88,Barnet,Childs Hill,Ward,Barnet & Camden,E05000045,"4,067","9,245",44%,Zac Goldsmith,1421,1849,215,220,71,230,4006
89,Barnet,Colindale,Ward,Barnet & Camden,E05000046,"3,266","9,512",34%,Sadiq Aman Khan,1761,865,137,85,102,244,3194
90,Barnet,Coppetts,Ward,Barnet & Camden,E05000047,"4,073","9,390",43%,Sadiq Aman Khan,1936,1268,291,160,101,238,3994
91,Barnet,East Barnet,Ward,Barnet & Camden,E05000048,"3,876","9,259",42%,Zac Goldsmith,1347,1614,251,176,166,246,3800
92,Barnet,East Finchley,Ward,Barnet & Camden,E05000049,"4,528","9,017",50%,Sadiq Aman Khan,2287,1170,344,231,102,325,4459
93,Barnet,Edgware,Ward,Barnet & Camden,E05000050,"3,796","8,293",46%,Zac Goldsmith,883,2457,86,78,79,159,3742
94,Barnet,Finchley Church End,Ward,Barnet & Camden,E05000051,"4,307","8,662",50%,Zac Goldsmith,1024,2582,184,167,61,232,4250
95,Barnet,Garden Suburb,Ward,Barnet & Camden,E05000052,"4,458","8,248",54%,Zac Goldsmith,916,2893,173,188,37,189,4396
96,Barnet,Golders Green,Ward,Barnet & Camden,E05000053,"3,561","8,034",44%,Zac Goldsmith,923,2208,98,73,47,156,3505
97,Barnet,Hale,Ward,Barnet & Camden,E05000054,"4,013","8,884",45%,Zac Goldsmith,1291,2130,125,98,124,165,3933
98,Barnet,Hendon,Ward,Barnet & Camden,E05000055,"3,588","8,563",42%,Zac Goldsmith,867,2208,132,99,49,182,3537
99,Barnet,High Barnet,Ward,Barnet & Camden,E05000056,"4,833","9,324",52%,Zac Goldsmith,1572,2142,393,267,118,286,4778
100,Barnet,Mill Hill,Ward,Barnet & Camden,E05000057,"4,452","9,965",45%,Zac Goldsmith,1325,2427,172,163,99,204,4390
101,Barnet,Oakleigh,Ward,Barnet & Camden,E05000058,"4,273","9,510",45%,Zac Goldsmith,1256,2152,251,181,141,222,4203
102,Barnet,Totteridge,Ward,Barnet & Camden,E05000059,"3,692","7,824",47%,Zac Goldsmith,991,2069,163,188,55,181,3647
103,Barnet,Underhill,Ward,Barnet & Camden,E05000060,"4,159","9,263",45%,Sadiq Aman Khan,1667,1546,242,174,184,254,4067
104,Barnet,West Finchley,Ward,Barnet & Camden,E05000061,"3,842","8,159",47%,Sadiq Aman Khan,1626,1382,229,199,69,279,3784
105,Barnet,West Hendon,Ward,Barnet & Camden,E05000062,"3,255","8,332",39%,Zac Goldsmith,1212,1511,97,85,93,197,3195
106,Barnet,Woodhouse,Ward,Barnet & Camden,E05000063,"4,216","9,440",45%,Sadiq Aman Khan,1875,1450,304,146,103,267,4145
107,Camden,Belsize,Ward,Barnet & Camden,E05000128,"3,122","7,319",43%,Sadiq Aman Khan,1231,1185,232,217,53,159,3077
108,Camden,Bloomsbury,Ward,Barnet & Camden,E05000129,"2,144","5,473",39%,Sadiq Aman Khan,1097,517,205,107,50,122,2098
109,Camden,Camden Town With Primrose Hill,Ward,Barnet & Camden,E05000130,"3,433","7,947",43%,Sadiq Aman Khan,1750,846,370,132,48,207,3353
110,Camden,Cantelowes,Ward,Barnet & Camden,E05000131,"3,354","7,721",43%,Sadiq Aman Khan,2031,458,328,193,68,200,3278
111,Camden,Fortune Green,Ward,Barnet & Camden,E05000132,"3,181","7,451",43%,Sadiq Aman Khan,1471,935,267,237,48,169,3127
112,Camden,Frognal And Fitzjohns,Ward,Barnet & Camden,E05000133,"2,495","5,976",42%,Zac Goldsmith,769,1270,157,129,24,119,2468
113,Camden,Gospel Oak,Ward,Barnet & Camden,E05000134,"3,311","7,240",46%,Sadiq Aman Khan,1867,603,308,142,89,205,3214
114,Camden,Hampstead Town,Ward,Barnet & Camden,E05000135,"2,790","6,064",46%,Zac Goldsmith,1052,1119,229,164,28,151,2743
115,Camden,Haverstock,Ward,Barnet & Camden,E05000136,"3,312","7,761",43%,Sadiq Aman Khan,1936,537,292,172,85,225,3247
116,Camden,Highgate,Ward,Barnet & Camden,E05000137,"3,757","7,062",53%,Sadiq Aman Khan,1975,777,492,149,68,235,3696
117,Camden,Holborn And Covent Garden,Ward,Barnet & Camden,E05000138,"3,068","7,543",41%,Sadiq Aman Khan,1743,638,227,128,82,189,3007
118,Camden,Kentish Town,Ward,Barnet & Camden,E05000139,"4,292","8,888",48%,Sadiq Aman Khan,2614,510,564,154,73,289,4204
119,Camden,Kilburn,Ward,Barnet & Camden,E05000140,"2,989","7,613",39%,Sadiq Aman Khan,1681,575,208,183,71,201,2919
120,Camden,King's Cross,Ward,Barnet & Camden,E05000141,"2,383","5,972",40%,Sadiq Aman Khan,1477,374,183,80,43,151,2308
121,Camden,Regent's Park,Ward,Barnet & Camden,E05000142,"3,095","7,781",40%,Sadiq Aman Khan,1850,519,260,107,64,193,2993
122,Camden,St Pancras And Somers Town,Ward,Barnet & Camden,E05000143,"3,565","8,869",40%,Sadiq Aman Khan,2379,415,250,85,84,232,3445
123,Camden,Swiss Cottage,Ward,Barnet & Camden,E05000144,"3,077","7,516",41%,Sadiq Aman Khan,1313,1120,217,162,52,172,3036
124,Camden,West Hampstead,Ward,Barnet & Camden,E05000145,"3,358","7,737",43%,Sadiq Aman Khan,1612,941,277,216,55,203,3304
125,Barking & Dagenham,Abbey,Ward,City & East,E05000026,"2,727","7,483",36%,Sadiq Aman Khan,1818,464,95,37,70,177,2661
126,Barking & Dagenham,Alibon,Ward,City & East,E05000027,"1,686","6,093",28%,Sadiq Aman Khan,671,402,53,36,303,172,1637
127,Barking & Dagenham,Becontree,Ward,City & East,E05000028,"2,399","7,584",32%,Sadiq Aman Khan,1164,490,92,61,257,232,2296
128,Barking & Dagenham,Chadwell Heath,Ward,City & East,E05000029,"2,090","6,070",34%,Sadiq Aman Khan,940,589,67,43,196,205,2040
129,Barking & Dagenham,Eastbrook,Ward,City & East,E05000030,"2,009","6,566",31%,Sadiq Aman Khan,693,659,55,72,319,158,1956
130,Barking & Dagenham,Eastbury,Ward,City & East,E05000031,"2,080","6,590",32%,Sadiq Aman Khan,1095,394,69,49,225,189,2021
131,Barking & Dagenham,Gascoigne,Ward,City & East,E05000032,"1,992","5,577",36%,Sadiq Aman Khan,1261,288,71,43,103,156,1922
132,Barking & Dagenham,Goresbrook,Ward,City & East,E05000033,"1,834","6,518",28%,Sadiq Aman Khan,821,417,55,43,266,166,1768
133,Barking & Dagenham,Heath,Ward,City & East,E05000034,"1,870","6,329",30%,Sadiq Aman Khan,826,426,56,45,284,167,1804
134,Barking & Dagenham,Longbridge,Ward,City & East,E05000035,"2,995","7,048",42%,Sadiq Aman Khan,1767,699,76,76,130,181,2929
135,Barking & Dagenham,Mayesbrook,Ward,City & East,E05000036,"1,638","6,001",27%,Sadiq Aman Khan,711,361,49,41,243,153,1558
136,Barking & Dagenham,Parsloes,Ward,City & East,E05000037,"1,617","5,717",28%,Sadiq Aman Khan,675,397,51,48,213,171,1555
137,Barking & Dagenham,River,Ward,City & East,E05000038,"1,719","5,899",29%,Sadiq Aman Khan,814,353,57,49,216,171,1660
138,Barking & Dagenham,Thames,Ward,City & East,E05000039,"2,240","6,549",34%,Sadiq Aman Khan,1307,386,63,35,194,157,2142
139,Barking & Dagenham,Valence,Ward,City & East,E05000040,"1,800","6,209",29%,Sadiq Aman Khan,844,398,60,41,238,166,1747
140,Barking & Dagenham,Village,Ward,City & East,E05000041,"1,927","6,271",31%,Sadiq Aman Khan,808,484,57,36,294,172,1851
141,Barking & Dagenham,Whalebone,Ward,City & East,E05000042,"2,135","6,235",34%,Sadiq Aman Khan,939,646,88,61,187,151,2072
142,City of London,City,Ward,City & East,E09000001,"2,201","4,525",49%,Sadiq Aman Khan,879,812,178,132,36,136,2173
143,Newham,Beckton,Ward,City & East,E05000475,"2,379","8,028",30%,Sadiq Aman Khan,1293,497,114,70,107,223,2304
144,Newham,Boleyn,Ward,City & East,E05000476,"3,528","8,161",43%,Sadiq Aman Khan,2423,528,116,70,51,223,3411
145,Newham,Canning Town North,Ward,City & East,E05000477,"2,930","8,594",34%,Sadiq Aman Khan,1729,490,141,60,140,253,2813
146,Newham,Canning Town South,Ward,City & East,E05000478,"2,853","9,056",32%,Sadiq Aman Khan,1540,597,120,82,174,272,2785
147,Newham,Custom House,Ward,City & East,E05000479,"2,170","7,227",30%,Sadiq Aman Khan,1168,453,81,66,109,209,2086
148,Newham,East Ham Central,Ward,City & East,E05000480,"3,669","8,381",44%,Sadiq Aman Khan,2570,582,113,45,55,191,3556
149,Newham,East Ham North,Ward,City & East,E05000481,"3,865","7,892",49%,Sadiq Aman Khan,2810,523,105,43,29,208,3718
150,Newham,East Ham South,Ward,City & East,E05000482,"3,265","8,186",40%,Sadiq Aman Khan,2122,486,132,56,141,235,3172
151,Newham,Forest Gate North,Ward,City & East,E05000483,"3,525","8,539",41%,Sadiq Aman Khan,2238,507,272,95,79,251,3442
152,Newham,Forest Gate South,Ward,City & East,E05000484,"3,575","9,004",40%,Sadiq Aman Khan,2359,497,209,85,50,280,3480
153,Newham,Green Street East,Ward,City & East,E05000485,"3,786","8,150",46%,Sadiq Aman Khan,2665,586,94,50,33,259,3687
154,Newham,Green Street West,Ward,City & East,E05000486,"3,475","8,003",43%,Sadiq Aman Khan,2540,469,95,39,28,194,3365
155,Newham,Little Ilford,Ward,City & East,E05000487,"3,576","8,463",42%,Sadiq Aman Khan,2656,411,96,51,61,178,3453
156,Newham,Manor Park,Ward,City & East,E05000488,"3,353","7,991",42%,Sadiq Aman Khan,2402,387,136,42,32,240,3239
157,Newham,Plaistow North,Ward,City & East,E05000489,"3,109","8,001",39%,Sadiq Aman Khan,2101,453,113,50,62,228,3007
158,Newham,Plaistow South,Ward,City & East,E05000490,"3,240","8,315",39%,Sadiq Aman Khan,2015,561,144,76,89,285,3170
159,Newham,Royal Docks,Ward,City & East,E05000491,"2,148","6,438",33%,Sadiq Aman Khan,1136,525,141,65,81,168,2116
160,Newham,Stratford And New Town,Ward,City & East,E05000492,"5,140","13,674",38%,Sadiq Aman Khan,2993,937,427,212,106,352,5027
161,Newham,Wall End,Ward,City & East,E05000493,"3,805","8,176",47%,Sadiq Aman Khan,2591,664,93,59,60,240,3707
162,Newham,West Ham,Ward,City & East,E05000494,"3,025","8,084",37%,Sadiq Aman Khan,1791,555,163,84,100,236,2929
163,Tower Hamlets,Bethnal Green,Ward,City & East,E05009317,"5,263","11,124",47%,Sadiq Aman Khan,3413,565,493,159,131,366,5127
164,Tower Hamlets,Blackwall And Cubitt Town,Ward,City & East,E05009318,"2,651","7,071",37%,Sadiq Aman Khan,1184,854,156,117,99,177,2587
165,Tower Hamlets,Bow East,Ward,City & East,E05009319,"4,506","10,308",44%,Sadiq Aman Khan,2689,626,447,185,144,320,4411
166,Tower Hamlets,Bow West,Ward,City & East,E05009320,"3,762","7,488",50%,Sadiq Aman Khan,2160,636,365,152,115,246,3674
167,Tower Hamlets,Bromley North,Ward,City & East,E05009321,"2,401","5,593",43%,Sadiq Aman Khan,1625,212,164,54,45,191,2291
168,Tower Hamlets,Bromley South,Ward,City & East,E05009322,"2,936","6,530",45%,Sadiq Aman Khan,1992,330,166,75,56,201,2820
169,Tower Hamlets,Canary Wharf,Ward,City & East,E05009323,"2,052","6,621",31%,Sadiq Aman Khan,996,623,112,94,40,143,2008
170,Tower Hamlets,Island Gardens,Ward,City & East,E05009324,"2,917","7,313",40%,Sadiq Aman Khan,1292,963,190,119,91,191,2846
171,Tower Hamlets,Lansbury,Ward,City & East,E05009325,"3,904","9,430",41%,Sadiq Aman Khan,2483,484,208,107,135,337,3754
172,Tower Hamlets,Limehouse,Ward,City & East,E05009326,"1,574","3,517",45%,Sadiq Aman Khan,700,507,114,88,30,99,1538
173,Tower Hamlets,Mile End,Ward,City & East,E05009327,"4,349","10,160",43%,Sadiq Aman Khan,2902,446,290,122,86,334,4180
174,Tower Hamlets,Poplar,Ward,City & East,E05009328,"1,385","3,396",41%,Sadiq Aman Khan,930,144,66,39,35,109,1323
175,Tower Hamlets,Shadwell,Ward,City & East,E05009332,"3,094","6,566",47%,Sadiq Aman Khan,2178,297,157,58,54,220,2964
176,Tower Hamlets,Spitalfields And Banglatown,Ward,City & East,E05009333,"2,807","6,714",42%,Sadiq Aman Khan,1818,342,217,80,20,226,2703
177,Tower Hamlets,St. Dunstan`S,Ward,City & East,E05009329,"3,379","7,121",47%,Sadiq Aman Khan,2399,318,188,76,42,253,3276
178,Tower Hamlets,St. Katharine`S And Wapping,Ward,City & East,E05009330,"2,872","6,317",45%,Sadiq Aman Khan,1238,955,222,189,46,174,2824
179,Tower Hamlets,St. Peter`S BG,Ward,City & East,E05009331,"4,710","10,227",46%,Sadiq Aman Khan,3093,450,493,129,73,339,4577
180,Tower Hamlets,Stepney Green,Ward,City & East,E05009334,"3,208","6,840",47%,Sadiq Aman Khan,2208,329,201,76,56,232,3102
181,Tower Hamlets,Weavers,Ward,City & East,E05009335,"3,007","7,007",43%,Sadiq Aman Khan,1831,367,316,106,72,243,2935
182,Tower Hamlets,Whitechapel,Ward,City & East,E05009336,"3,568","8,446",42%,Sadiq Aman Khan,2301,491,248,130,30,259,3459
183,Croydon,Addiscombe,Ward,Croydon & Sutton,E05000146,"3,874","9,743",40%,Sadiq Aman Khan,1754,1162,305,180,153,247,3801
184,Croydon,Ashburton,Ward,Croydon & Sutton,E05000147,"3,940","8,917",44%,Zac Goldsmith,1438,1705,195,144,187,199,3868
185,Croydon,Bensham Manor,Ward,Croydon & Sutton,E05000148,"3,589","9,339",38%,Sadiq Aman Khan,2184,785,139,75,83,218,3484
186,Croydon,Broad Green,Ward,Croydon & Sutton,E05000149,"3,856","10,747",36%,Sadiq Aman Khan,2311,812,162,93,125,244,3747
187,Croydon,Coulsdon East,Ward,Croydon & Sutton,E05000150,"3,446","7,693",45%,Zac Goldsmith,668,1928,163,247,211,170,3387
188,Croydon,Coulsdon West,Ward,Croydon & Sutton,E05000151,"3,496","8,448",41%,Zac Goldsmith,842,1976,165,140,153,157,3433
189,Croydon,Croham,Ward,Croydon & Sutton,E05000152,"4,135","9,209",45%,Zac Goldsmith,1410,1830,235,278,115,195,4063
190,Croydon,Fairfield,Ward,Croydon & Sutton,E05000153,"3,789","10,033",38%,Zac Goldsmith,1474,1523,231,187,101,219,3735
191,Croydon,Fieldway,Ward,Croydon & Sutton,E05000154,"1,635","6,149",27%,Sadiq Aman Khan,767,405,53,38,176,137,1576
192,Croydon,Heathfield,Ward,Croydon & Sutton,E05000155,"3,587","8,291",43%,Zac Goldsmith,946,1922,156,139,189,173,3525
193,Croydon,Kenley,Ward,Croydon & Sutton,E05000156,"3,750","8,889",42%,Zac Goldsmith,886,2092,183,167,174,186,3688
194,Croydon,New Addington,Ward,Croydon & Sutton,E05000157,"1,697","6,153",28%,Sadiq Aman Khan,648,529,47,52,226,151,1653
195,Croydon,Norbury,Ward,Croydon & Sutton,E05000158,"4,090","9,669",42%,Sadiq Aman Khan,2141,1161,226,137,84,268,4017
196,Croydon,Purley,Ward,Croydon & Sutton,E05000159,"3,793","8,856",43%,Zac Goldsmith,1065,2077,165,155,101,156,3719
